X.PROBE_ID	UTR_TAG	ALN_BASIS	BWA_NUM_MISMATCHES	NUM_HITS	HIT	SNP_INFO	gene	uniq	Chr	Strand	P_start	P_end	Gene_symbol
ILMN_1706077	inclUTR	exome	0	1	chr20|+|76974-77023|585_NM_153325,DEFB125|exonic;	MAF=0.0141343,Name=chr20_77013	1	1	20	+	76974	77023	DEFB125
ILMN_1685930	inclUTR	exome	0	1	chr11|+|31453765-31453814|824_NM_181706,DNAJC24|exonic;	NA	1	1	11	+	31453765	31453814	DNAJC24
ILMN_1698379	inclUTR	exome	0	1	chrX|+|140993288-140993337|1660_NM_005462,MAGEC1|exonic;	NA	1	1	X	+	140993288	140993337	MAGEC1
ILMN_1810486	inclUTR	exome	0	7	chr17|-|27041546-27041595|791_NR_024575,RAB34|exonic;chr17|-|27041546-27041595|791_NM_001142624,RAB34|exonic;chr17|-|27041546-27041595|791_NM_001144942,RAB34|exonic;chr17|-|27041546-27041595|791_NR_024579,RAB34|exonic;chr17|-|27041546-27041595|791_NM_001144943,RAB34|exonic;chr17|-|27041546-27041595|791_NM_031934,RAB34|exonic;chr17|-|27041546-27041595|791_NM_001142625,RAB34|exonic;	NA	1	1	17	-	27041546	27041595	RAB34
ILMN_2126408	inclUTR	exome	0	1	chr16|-|1448557-1448606|596_NM_001037125,UNKL|exonic;	NA	1	1	16	-	1448557	1448606	UNKL
ILMN_2352401	inclUTR	exome	0	2	chr5|+|65376527-65376576|135_NM_018695,ERBB2IP|exonic;chr5|+|65376528-65376577|135_NM_001006600,ERBB2IP|exonic;	NA	1	1	5	+	65376527	65376577	ERBB2IP
ILMN_1781184	inclUTR	exome	0	1	chr11|-|47353087-47353136|946_NM_000256,MYBPC3|exonic;	NA	1	1	11	-	47353087	47353136	MYBPC3
ILMN_1668986	inclUTR	exome	0	1	chr5|-|145202695-145202697:145205560-145205607|1692_NM_138492,PRELID2|exonic;	NA	1	1	5	-	145202695	145205607	PRELID2
ILMN_1785175	inclUTR	exome	0	1	chr11|+|9773094-9773143|82_NM_015055,SWAP70|exonic;	NA	1	1	11	+	9773094	9773143	SWAP70
ILMN_1657002	inclUTR	exome	0	1	chr11|-|5364283-5364332|78_NM_001005567,OR51B5|exonic;	MAF=0.0477032,Name=chr11_5364295	1	1	11	-	5364283	5364332	OR51B5
ILMN_2063446	inclUTR	exome	0	1	chr11|-|5364151-5364200|78_NM_001005567,OR51B5|exonic;	NA	1	1	11	-	5364151	5364200	OR51B5
ILMN_3236010	inclUTR	exome	0	1	chr12|-|6690682-6690731|636_NR_003012,SCARNA11|exonic;	NA	1	1	12	-	6690682	6690731	SCARNA11
ILMN_1671225	inclUTR	exome	0	1	chr1|+|110088120-110088169|1424_NM_031936,GPR61|exonic;	NA	1	1	1	+	110088120	110088169	GPR61
ILMN_1704222	inclUTR	exome	0	3	chr1|+|186390155-186390204|250_NM_017847,C1orf27|exonic;chr1|+|186390156-186390205|250_NM_001164245,C1orf27|exonic;chr1|+|186390156-186390205|250_NM_001164246,C1orf27|exonic;	NA	1	1	1	+	186390155	186390205	C1orf27
ILMN_1764797	inclUTR	exome	0	2	chr5|-|151202384-151202433|217_NM_000171,GLRA1|exonic;chr5|-|151202384-151202433|217_NM_001146040,GLRA1|exonic;	NA	1	1	5	-	151202384	151202433	GLRA1
ILMN_1807101	inclUTR	exome	0	1	chr4|+|187208851-187208900|2013_NM_000128,F11|exonic;	NA	1	1	4	+	187208851	187208900	F11
ILMN_1764061	inclUTR	exome	0	1	chr4|+|187195375-187195424|2013_NM_000128,F11|exonic;	NA	1	1	4	+	187195375	187195424	F11
ILMN_1719934	inclUTR	exome	0	1	chr1|+|47883447-47883496|950_NM_012186,FOXE3|exonic;	NA	1	1	1	+	47883447	47883496	FOXE3
ILMN_1815599	inclUTR	exome	0	1	chr1|+|47881911-47881960|950_NM_012186,FOXE3|exonic;	NA	1	1	1	+	47881911	47881960	FOXE3
ILMN_1684450	inclUTR	exome	0	1	chr21|+|43833563-43833612|919_NM_018961,UBASH3A|exonic;	NA	1	1	21	+	43833563	43833612	UBASH3A
ILMN_1685534	inclUTR	exome	0	1	chr7|+|99947363-99947412|1347_NR_036570,PILRB|exonic;	NA	1	1	7	+	99947363	99947412	PILRB
ILMN_1748908	inclUTR	exome	0	1	chr8|+|37636872-37636921|872_NM_007198,PROSC|exonic;	NA	1	1	8	+	37636872	37636921	PROSC
ILMN_1670139	inclUTR	exome	0	1	chrX|-|153523382-153523431|1756_NM_001586,TEX28|exonic;	NA	1	1	X	-	153523382	153523431	TEX28
ILMN_1815949	inclUTR	exome	0	1	chr14|+|92788926-92788975|161_NM_153648,SLC24A4|exonic;	NA	1	1	14	+	92788926	92788975	SLC24A4
ILMN_1675391	inclUTR	exome	0	3	chr14|+|92962308-92962357|161_NM_153648,SLC24A4|exonic;chr14|+|92962308-92962357|161_NM_153646,SLC24A4|exonic;chr14|+|92962307-92962356|161_NM_153647,SLC24A4|exonic;	NA	1	1	14	+	92962307	92962357	SLC24A4
ILMN_3309179	inclUTR	exome	0	1	chr21|+|17912149-17912198|721_NR_029480,MIRLET7C|exonic;	NA	1	1	21	+	17912149	17912198	MIRLET7C
ILMN_2330213	inclUTR	exome	0	7	chr7|+|101821832-101821881|21_NM_001913,CUX1|exonic;chr7|+|101821833-101821882|21_NM_001202544,CUX1|exonic;chr7|+|101821832-101821881|21_NM_181552,CUX1|exonic;chr7|+|101821832-101821881|21_NM_001202543,CUX1|exonic;chr7|+|101821833-101821882|21_NM_001202545,CUX1|exonic;chr7|+|101821833-101821882|21_NM_001202546,CUX1|exonic;chr7|+|101821832-101821881|21_NM_181500,CUX1|exonic;	NA	1	1	7	+	101821832	101821882	CUX1
ILMN_2218024	inclUTR	exome	0	2	chr6|-|135281739-135281788|1617_NM_006620,HBS1L|exonic;chr6|-|135281739-135281788|1617_NM_001145158,HBS1L|exonic;	NA	1	1	6	-	135281739	135281788	HBS1L
ILMN_1693826	inclUTR	exome	0	1	chr5|-|156512892-156512941|1779_NM_032782,HAVCR2|exonic;	NA	1	1	5	-	156512892	156512941	HAVCR2
ILMN_1683597	inclUTR	exome	0	1	chr17|+|27047891-27047908:27049740-27049772|791_NM_000984,RPL23A|exonic;	NA	1	1	17	+	27047891	27049772	RPL23A
ILMN_1711368	inclUTR	exome	0	2	chr8|-|140742753-140742802|207_NM_001160372,TRAPPC9|exonic;chr8|-|140742753-140742802|207_NM_031466,TRAPPC9|exonic;	NA	1	1	8	-	140742753	140742802	TRAPPC9
ILMN_1771149	inclUTR	exome	0	1	chr2|+|75882659-75882708|1163_NM_014763,MRPL19|exonic;	NA	1	1	2	+	75882659	75882708	MRPL19
ILMN_1782275	inclUTR	exome	0	1	chr11|+|73009432-73009481|142_NM_004154,P2RY6|exonic;	MAF=0.106007,Name=chr11_73009432	1	1	11	+	73009432	73009481	P2RY6
ILMN_2385239	inclUTR	exome	0	3	chr3|-|52579676-52579725|123_NM_018165,PBRM1|exonic;chr3|-|52579676-52579725|123_NM_018313,PBRM1|exonic;chr3|-|52579676-52579725|123_NM_181042,PBRM1|exonic;	NA	1	1	3	-	52579676	52579725	PBRM1
ILMN_1659470	inclUTR	exome	0	3	chr3|-|52582099-52582148|123_NM_018165,PBRM1|exonic;chr3|-|52582099-52582148|123_NM_018313,PBRM1|exonic;chr3|-|52582099-52582148|123_NM_181042,PBRM1|exonic;	NA	1	1	3	-	52582099	52582148	PBRM1
ILMN_1723822	inclUTR	exome	0	3	chr3|-|52581956-52582005|123_NM_018165,PBRM1|exonic;chr3|-|52581956-52582005|123_NM_018313,PBRM1|exonic;chr3|-|52581956-52582005|123_NM_181042,PBRM1|exonic;	NA	1	1	3	-	52581956	52582005	PBRM1
ILMN_1683990	inclUTR	exome	0	1	chr1|-|16558282-16558331|711_NM_030907,RSG1|exonic;	NA	1	1	1	-	16558282	16558331	RSG1
ILMN_1781207	inclUTR	exome	0	1	chr6|-|112017659-112017659:112020717-112020766|1439_NM_153047,FYN|exonic;	NA	1	1	6	-	112017659	112020766	FYN
ILMN_1686555	inclUTR	exome	0	3	chr6|-|111982804-111982853|1439_NM_153047,FYN|exonic;chr6|-|111982804-111982853|179_NM_002037,FYN|exonic;chr6|-|111982804-111982853|179_NM_153048,FYN|exonic;	NA	1	1	6	-	111982804	111982853	FYN
ILMN_1771179	inclUTR	exome	0	3	chr17|-|61509954-61510003|1054_NM_001915,CYB561|exonic;chr17|-|61509954-61510003|1054_NM_001017917,CYB561|exonic;chr17|-|61509954-61510003|1054_NM_001017916,CYB561|exonic;	NA	1	1	17	-	61509954	61510003	CYB561
ILMN_1679721	inclUTR	exome	0	1	chr17|-|61523668-61523717|1054_NM_001915,CYB561|exonic;	NA	1	1	17	-	61523668	61523717	CYB561
ILMN_1723662	inclUTR	exome	0	2	chr15|+|89738750-89738799|158_NM_152924,ABHD2|exonic;chr15|+|89738746-89738795|158_NM_007011,ABHD2|exonic;	NA	1	1	15	+	89738746	89738799	ABHD2
ILMN_2403446	inclUTR	exome	0	2	chr15|+|89738732-89738781|158_NM_152924,ABHD2|exonic;chr15|+|89738728-89738777|158_NM_007011,ABHD2|exonic;	NA	1	1	15	+	89738728	89738781	ABHD2
ILMN_1651610	inclUTR	exome	0	1	chr4|+|124318018-124318067|1533_NM_199327,SPRY1|exonic;	NA	1	1	4	+	124318018	124318067	SPRY1
ILMN_1755519	inclUTR	exome	0	2	chr4|-|83534432-83534481|1222_NR_024088,C4orf11|exonic;chr4|-|83534432-83534481|1222_NR_024087,C4orf11|exonic;	MAF=0.0441696,Name=chr4_83534445;MAF=0.0441696,Name=chr4_83534445	1	1	4	-	83534432	83534481	C4orf11
ILMN_3308585	inclUTR	exome	0	2	chr19|+|54198469-54198518|998_NR_030191,MIR519B|exonic;chr19|+|54201644-54201693|998_NR_030193,MIR523|exonic;	NA	1	0					
ILMN_1677637	inclUTR	exome	0	1	chr3|-|197273354-197273357:197300051-197300097|261_NM_203315,BDH1|exonic;	NA	1	1	3	-	197273354	197300097	BDH1
ILMN_2064606	inclUTR	exome	0	2	chr15|-|78287669-78287718|1182_NM_015079,TBC1D2B|exonic;chr15|-|78287669-78287718|1182_NM_144572,TBC1D2B|exonic;	NA	1	1	15	-	78287669	78287718	TBC1D2B
ILMN_1842305	inclUTR	exome	0	1	chr18|-|13419670-13419719|687_NR_040031,LOC100288122|exonic;	NA	1	1	18	-	13419670	13419719	LOC100288122
ILMN_3255061	inclUTR	exome	0	3	chr17|+|20217762-20217811|92_NM_001033555,SPECC1|exonic;chr17|+|20217760-20217809|92_NM_001033553,SPECC1|exonic;chr17|+|20217760-20217809|11_NM_001243439,SPECC1|exonic;	NA	1	1	17	+	20217760	20217811	SPECC1
ILMN_1792110	inclUTR	exome	0	1	chr10|-|103605635-103605684|21_NM_024541,C10orf76|exonic;	NA	1	1	10	-	103605635	103605684	C10orf76
ILMN_2336186	inclUTR	exome	0	2	chr16|+|25175966-25176015|1_NM_001032391,LCMT1|exonic;chr16|+|25175964-25176013|1_NM_016309,LCMT1|exonic;	NA	1	1	16	+	25175964	25176015	LCMT1
ILMN_1792712	inclUTR	exome	0	1	chr4|-|159588071-159588120|1802_NM_001008393,C4orf46|exonic;	NA	1	1	4	-	159588071	159588120	C4orf46
ILMN_3307841	inclUTR	exome	0	1	chr7|-|16832449-16832498|713_NM_006408,AGR2|exonic;	NA	1	1	7	-	16832449	16832498	AGR2
ILMN_3308622	inclUTR	exome	0	1	chr11|-|61582660-61582709|1054_NR_031729,MIR1908|exonic;	MAF=0.318021,Name=chr11_61582708	1	1	11	-	61582660	61582709	MIR1908
ILMN_1716592	inclUTR	exome	0	1	chr2|-|44039729-44039778|14_NM_022436,ABCG5|exonic;	MAF=0.157244,Name=chr2_44039733	1	1	2	-	44039729	44039778	ABCG5
ILMN_1799076	inclUTR	exome	0	1	chr2|+|45172024-45172073|929_NM_005413,SIX3|exonic;	NA	1	1	2	+	45172024	45172073	SIX3
ILMN_2405680	inclUTR	exome	0	2	chr19|+|6465585-6465629:6466476-6466481|634_NM_139161,CRB3|exonic;chr19|+|6465585-6465629:6466476-6466481|634_NM_174881,CRB3|exonic;	NA	1	1	19	+	6465585	6466481	CRB3
ILMN_1815169	inclUTR	exome	0	1	chr22|+|35819304-35819334:35820146-35820165|858_NM_006739,MCM5|exonic;	NA	1	1	22	+	35819304	35820165	MCM5
ILMN_2153280	inclUTR	exome	0	1	chr1|-|19544604-19544653|734_NM_015047,KIAA0090|exonic;	NA	1	1	1	-	19544604	19544653	KIAA0090
ILMN_1801216	inclUTR	exome	0	1	chr4|+|6698764-6698813|636_NM_005980,S100P|exonic;	NA	1	1	4	+	6698764	6698813	S100P
ILMN_3188479	inclUTR	exome	0	2	chr3|+|46395344-46395393|117_NM_001123396,CCR2|exonic;chr3|+|46395344-46395393|117_NM_001123041,CCR2|exonic;	NA	1	1	3	+	46395344	46395393	CCR2
ILMN_1812441	inclUTR	exome	0	2	chr17|-|27084085-27084134|98_NM_001077498,C17orf63|exonic;chr17|-|27084085-27084134|98_NM_018182,C17orf63|exonic;	NA	1	1	17	-	27084085	27084134	C17orf63
ILMN_3249372	inclUTR	exome	0	1	chr16|-|31454238-31454287|824_NM_001136509,ZNF843|exonic;	NA	1	1	16	-	31454238	31454287	ZNF843
ILMN_2199768	inclUTR	exome	0	3	chrX|-|142716268-142716317|1673_NM_001184749,SLITRK4|exonic;chrX|-|142716268-142716317|1673_NM_001184750,SLITRK4|exonic;chrX|-|142716268-142716317|1673_NM_173078,SLITRK4|exonic;	NA	1	1	X	-	142716268	142716317	SLITRK4
ILMN_3304802	inclUTR	exome	0	1	chr1|-|168214877-168214926|1868_NR_026844,ANKRD36BP1|exonic;	NA	1	1	1	-	168214877	168214926	ANKRD36BP1
ILMN_1808463	inclUTR	exome	0	1	chrX|+|142121941-142121990|1669_NM_001009613,SPANXN4|exonic;	NA	1	1	X	+	142121941	142121990	SPANXN4
ILMN_3255741	inclUTR	exome	0	1	chr10|-|43014846-43014895|913_NR_026777,ZNF37BP|exonic;	NA	1	1	10	-	43014846	43014895	ZNF37BP
ILMN_3246826	inclUTR	exome	0	1	chr5|+|115362544-115362593|22_NM_173800,AQPEP|exonic;	NA	1	1	5	+	115362544	115362593	AQPEP
ILMN_1764231	inclUTR	exome	0	6	chr12|-|16759008-16759057|712_NR_045013,LMO3|exonic;chr12|-|16759008-16759057|712_NM_001243610,LMO3|exonic;chr12|-|16759007-16759056|712_NM_001243613,LMO3|exonic;chr12|-|16759008-16759057|712_NM_001243609,LMO3|exonic;chr12|-|16759007-16759056|712_NR_045012,LMO3|exonic;chr12|-|16759008-16759057|712_NM_018640,LMO3|exonic;	NA	1	1	12	-	16759007	16759057	LMO3
ILMN_1813295	inclUTR	exome	0	10	chr12|-|16701534-16701583|712_NM_001243613,LMO3|exonic;chr12|-|16701534-16701583|712_NR_045012,LMO3|exonic;chr12|-|16701534-16701583|712_NM_001243611,LMO3|exonic;chr12|-|16701534-16701583|712_NM_001001395,LMO3|exonic;chr12|-|16701534-16701583|712_NM_001243610,LMO3|exonic;chr12|-|16701534-16701583|712_NM_001243609,LMO3|exonic;chr12|-|16701534-16701583|712_NM_018640,LMO3|exonic;chr12|-|16701534-16701583|712_NM_001243612,LMO3|exonic;chr12|-|16701534-16701583|712_NR_045014,LMO3|exonic;chr12|-|16701534-16701583|712_NR_045013,LMO3|exonic;	NA	1	1	12	-	16701534	16701583	LMO3
ILMN_3177285	inclUTR	exome	0	4	chr1|-|23636714-23636763|765_NM_001102399,HNRNPR|exonic;chr1|-|23636714-23636763|765_NM_001102397,HNRNPR|exonic;chr1|-|23636714-23636763|765_NM_005826,HNRNPR|exonic;chr1|-|23636714-23636763|765_NM_001102398,HNRNPR|exonic;	NA	1	1	1	-	23636714	23636763	HNRNPR
ILMN_1793305	inclUTR	exome	0	1	chr4|+|43032392-43032441|14_NM_001080476,GRXCR1|exonic;	NA	1	1	4	+	43032392	43032441	GRXCR1
ILMN_1725338	inclUTR	exome	0	1	chr8|+|8561463-8561512|650_NM_194284,CLDN23|exonic;	NA	1	1	8	+	8561463	8561512	CLDN23
ILMN_2391976	inclUTR	exome	0	1	chr8|-|142221146-142221195|1670_NM_001080431,SLC45A4|exonic;	NA	1	1	8	-	142221146	142221195	SLC45A4
ILMN_3310735	inclUTR	exome	0	1	chr9|-|28888880-28888929|805_NR_030618,MIR873|exonic;	NA	1	1	9	-	28888880	28888929	MIR873
ILMN_2394571	inclUTR	exome	0	3	chr5|-|171289011-171289060|236_NM_012300,FBXW11|exonic;chr5|-|171289011-171289060|236_NM_033645,FBXW11|exonic;chr5|-|171289011-171289060|236_NM_033644,FBXW11|exonic;	NA	1	1	5	-	171289011	171289060	FBXW11
ILMN_2394576	inclUTR	exome	0	3	chr5|-|171289654-171289703|236_NM_033645,FBXW11|exonic;chr5|-|171289654-171289703|236_NM_033644,FBXW11|exonic;chr5|-|171289654-171289703|236_NM_012300,FBXW11|exonic;	NA	1	1	5	-	171289654	171289703	FBXW11
ILMN_1706548	inclUTR	exome	0	1	chr19|+|41081970-41082019|112_NM_020971,SPTBN4|exonic;	NA	1	1	19	+	41081970	41082019	SPTBN4
ILMN_1669335	inclUTR	exome	0	2	chr21|-|36259437-36259486|861_NM_001122607,RUNX1|exonic;chr21|-|36259436-36259485|107_NM_001001890,RUNX1|exonic;	NA	1	1	21	-	36259436	36259486	RUNX1
ILMN_1741281	inclUTR	exome	0	1	chr4|-|154631488-154631537|220_NM_173662,RNF175|exonic;	NA	1	1	4	-	154631488	154631537	RNF175
ILMN_3187713	inclUTR	exome	0	1	chr4|-|774659-774708|590_NR_036511,LOC100129917|exonic;	NA	1	1	4	-	774659	774708	LOC100129917
ILMN_3307911	inclUTR	exome	0	1	chr10|-|5203863-5203912|624_NR_027916,AKR1CL1|exonic;	MAF=0.337456,Name=chr10_5203864	1	1	10	-	5203863	5203912	AKR1CL1
ILMN_2398664	inclUTR	exome	0	2	chr12|+|121861366-121861415|1514_NM_194271,RNF34|exonic;chr12|+|121861367-121861416|1514_NM_025126,RNF34|exonic;	NA	1	1	12	+	121861366	121861416	RNF34
ILMN_1786039	inclUTR	exome	0	2	chr12|+|121861933-121861982|1514_NM_194271,RNF34|exonic;chr12|+|121861934-121861983|1514_NM_025126,RNF34|exonic;	NA	1	1	12	+	121861933	121861983	RNF34
ILMN_1797684	inclUTR	exome	0	2	chr6|-|170886713-170886762|1888_NM_002598,PDCD2|exonic;chr6|-|170886713-170886762|1888_NM_001199462,PDCD2|exonic;	NA	1	1	6	-	170886713	170886762	PDCD2
ILMN_3270641	inclUTR	exome	0	2	chr10|+|70102432-70102481|1119_NM_012207,HNRNPH3|exonic;chr10|+|70102432-70102481|1119_NM_021644,HNRNPH3|exonic;	NA	1	1	10	+	70102432	70102481	HNRNPH3
ILMN_2121389	inclUTR	exome	0	1	chr14|+|74004041-74004090|1149_NM_001037161,ACOT1|exonic;	NA	1	1	14	+	74004041	74004090	ACOT1
ILMN_1715543	inclUTR	exome	0	1	chr14|+|74008371-74008399:74009753-74009774|1149_NM_001037161,ACOT1|exonic;	NA	1	1	14	+	74008371	74009774	ACOT1
ILMN_1684205	inclUTR	exome	0	1	chr15|-|90773520-90773569|1277_NM_006384,CIB1|exonic;	NA	1	1	15	-	90773520	90773569	CIB1
ILMN_3309634	inclUTR	exome	0	5	chr6_ssto_hap7|-|2476689-2476738|603_NR_026816,PSORS1C3|exonic;chr6_mann_hap4|-|2490100-2490149|75_NR_026816,PSORS1C3|exonic;chr6_mcf_hap5|-|2523678-2523727|604_NR_026816,PSORS1C3|exonic;chr6_ssto_hap7|-|2476689-2476738|603_NR_026816,PSORS1C3|exonic;chr6_cox_hap2|-|2656507-2656556|605_NR_026816,PSORS1C3|exonic;chr6|-|31141737-31141786|822_NR_026816,PSORS1C3|exonic;chr6_ssto_hap7|-|2476689-2476738|603_NR_026816,PSORS1C3|exonic;	NA	1	1	6	-	31141737	31141786	PSORS1C3
ILMN_1765021	inclUTR	exome	0	1	chr22|-|22311467-22311516|755_NM_003935,TOP3B|exonic;	NA	1	1	22	-	22311467	22311516	TOP3B
ILMN_1773561	inclUTR	exome	0	1	chrX|-|131337427-131337476|1587_NM_021183,RAP2C|exonic;	NA	1	1	X	-	131337427	131337476	RAP2C
ILMN_1778132	inclUTR	exome	0	1	chr11|+|118987453-118987502|1492_NM_014807,C2CD2L|exonic;	NA	1	1	11	+	118987453	118987502	C2CD2L
ILMN_3238123	inclUTR	exome	0	1	chr19|+|12188393-12188442|677_NM_001136501,ZNF844|exonic;	MAF=0.0141343,Name=chr19_12188436	1	1	19	+	12188393	12188442	ZNF844
ILMN_1784294	inclUTR	exome	0	2	chr7|+|129963671-129963720|1576_NM_001163446,CPA4|exonic;chr7|+|129963670-129963719|1576_NM_016352,CPA4|exonic;	NA	1	1	7	+	129963670	129963720	CPA4
ILMN_1783852	inclUTR	exome	0	5	chr6|-|109688003-109688052|1421_NM_006016,CD164|exonic;chr6|-|109688003-109688052|1421_NM_001142403,CD164|exonic;chr6|-|109688003-109688052|1421_NM_001142401,CD164|exonic;chr6|-|109688003-109688052|1421_NM_001142402,CD164|exonic;chr6|-|109688003-109688052|1421_NM_001142404,CD164|exonic;	NA	1	1	6	-	109688003	109688052	CD164
ILMN_2215631	inclUTR	exome	0	1	chr8|+|92098935-92098984|1287_NM_016023,OTUD6B|exonic;	NA	1	1	8	+	92098935	92098984	OTUD6B
ILMN_1772703	inclUTR	exome	0	1	chr8|+|92098501-92098550|1287_NM_016023,OTUD6B|exonic;	NA	1	1	8	+	92098501	92098550	OTUD6B
ILMN_2115777	inclUTR	exome	0	1	chr17|-|6945748-6945797|79_NM_153357,SLC16A11|exonic;	NA	1	1	17	-	6945748	6945797	SLC16A11
ILMN_3277402	inclUTR	exome	0	1	chr7|-|65112227-65112276|135_NR_038378,LOC441242|exonic;	NA	1	1	7	-	65112227	65112276	LOC441242
ILMN_1677239	inclUTR	exome	0	1	chr3|-|123632690-123632739|1528_NM_022757,CCDC14|exonic;	NA	1	1	3	-	123632690	123632739	CCDC14
ILMN_3310745	inclUTR	exome	0	1	chr15|+|25346729-25346778|778_NR_003341,SNORD116-27|exonic;	NA	1	1	15	+	25346729	25346778	SNORD116-27
ILMN_2175124	inclUTR	exome	0	14	chrY|-|26952697-26952728:26959329-26959347|790_NM_020420,DAZ4|exonic;chrY|-|26952695-26952728:26959329-26959345|790_NM_020364,DAZ3|exonic;chrY|-|25338308-25338345:25344944-25344956|97_NM_001005375,DAZ4|exonic;chrY|-|25338303-25338345:25344944-25344951|97_NM_004081,DAZ1|exonic;chrY|+|25365858-25365890:25372490-25372507|97_NM_020363,DAZ2|exonic;chrY|+|26980244-26980276:26997725-26997742|98_NM_001005786,DAZ2|exonic;chrY|+|25365858-25365890:25372490-25372507|97_NM_001005785,DAZ2|exonic;chrY|+|26980244-26980276:26997725-26997742|98_NM_020364,DAZ3|exonic;chrY|+|25365858-25365890:25372490-25372507|97_NM_020420,DAZ4|exonic;chrY|+|25365858-25365890:25372490-25372507|97_NM_020364,DAZ3|exonic;chrY|+|26980244-26980276:26997725-26997742|98_NM_020420,DAZ4|exonic;chrY|+|26980244-26980276:26986877-26986894|98_NM_001005375,DAZ4|exonic;chrY|+|26980244-26980276:26997725-26997742|98_NM_001005785,DAZ2|exonic;chrY|+|25365858-25365890:25372490-25372507|97_NM_001005786,DAZ2|exonic;	NA	1	0					
ILMN_1775753	inclUTR	exome	0	1	chr9|-|123526736-123526785|1527_NM_012164,FBXW2|exonic;	NA	1	1	9	-	123526736	123526785	FBXW2
ILMN_1689578	inclUTR	exome	0	1	chr4|+|187004834-187004883|2011_NM_003265,TLR3|exonic;	NA	1	1	4	+	187004834	187004883	TLR3
ILMN_2155708	inclUTR	exome	0	1	chr4|+|187005898-187005947|2011_NM_003265,TLR3|exonic;	NA	1	1	4	+	187005898	187005947	TLR3
ILMN_1693788	inclUTR	exome	0	1	chr19|-|52536707-52536756|985_NM_014650,ZNF432|exonic;	NA	1	1	19	-	52536707	52536756	ZNF432
ILMN_1757795	inclUTR	exome	0	1	chr11|+|4510875-4510924|619_NM_001005171,OR52K1|exonic;	NA	1	1	11	+	4510875	4510924	OR52K1
ILMN_1701195	inclUTR	exome	0	2	chr6|-|46675850-46675898:46677063-46677064|941_NM_001168357,PLA2G7|exonic;chr6|-|46675850-46675898:46677063-46677064|941_NM_005084,PLA2G7|exonic;	NA	1	1	6	-	46675850	46677064	PLA2G7
ILMN_2135339	inclUTR	exome	0	1	chr3|-|184796087-184796136|249_NM_001025266,C3orf70|exonic;	MAF=0.0565371,Name=chr3_184796135	1	1	3	-	184796087	184796136	C3orf70
ILMN_1702965	inclUTR	exome	0	1	chr12|+|15134352-15134401|700_NM_006205,PDE6H|exonic;	MAF=0.0618375,Name=chr12_15134353	1	1	12	+	15134352	15134401	PDE6H
ILMN_1731862	inclUTR	exome	0	3	chr10|-|7618640-7618689|643_NM_001001851,ITIH5|exonic;chr10|-|7618638-7618687|80_NM_032817,ITIH5|exonic;chr10|-|7618638-7618687|80_NM_030569,ITIH5|exonic;	MAF=0.475265,Name=chr10_7618686;MAF=0.475265,Name=chr10_7618686;MAF=0.475265,Name=chr10_7618686	1	1	10	-	7618638	7618689	ITIH5
ILMN_1789384	inclUTR	exome	0	1	chr9|-|139098427-139098476|1646_NM_181701,QSOX2|exonic;	NA	1	1	9	-	139098427	139098476	QSOX2
ILMN_3244353	inclUTR	exome	0	2	chr9|+|42410413-42410462|908_NM_001012419,ANKRD20A3|exonic;chr9|+|42410413-42410462|908_NM_001012421,ANKRD20A2|exonic;	NA	1	1	9	+	42410413	42410462	ANKRD20A3,ANKRD20A2
ILMN_2072603	inclUTR	exome	0	1	chr6|-|44081558-44081607|921_NM_032111,MRPL14|exonic;	NA	1	1	6	-	44081558	44081607	MRPL14
ILMN_2049727	inclUTR	exome	0	1	chr20|-|42825749-42825798|911_NM_016470,C20orf111|exonic;	NA	1	1	20	-	42825749	42825798	C20orf111
ILMN_2227968	inclUTR	exome	0	1	chr16|-|2089994-2090043|9_NM_002528,NTHL1|exonic;	NA	1	1	16	-	2089994	2090043	NTHL1
ILMN_1675406	inclUTR	exome	0	2	chr8|-|38123740-38123789|875_NM_032483,PPAPDC1B|exonic;chr8|-|38123740-38123789|875_NM_001102559,PPAPDC1B|exonic;	NA	1	1	8	-	38123740	38123789	PPAPDC1B
ILMN_3246051	inclUTR	exome	0	1	chr22|+|20343131-20343180|740_NR_038388,LOC729444|exonic;	NA	1	1	22	+	20343131	20343180	LOC729444
ILMN_1780923	inclUTR	exome	0	1	chr1|+|1387437-1387486|595_NM_001039211,ATAD3C|exonic;	NA	1	1	1	+	1387437	1387486	ATAD3C
ILMN_1727539	inclUTR	exome	0	3	chr11|+|60980158-60980207|1050_NM_001079807,PGA3|exonic;chr11|+|60998987-60999036|1050_NM_001079808,PGA4|exonic;chr11|+|61018737-61018786|1050_NM_014224,PGA5|exonic;	NA	1	0					
ILMN_2163324	inclUTR	exome	0	1	chr11|+|60971690-60971739|1050_NM_001079807,PGA3|exonic;	NA	1	1	11	+	60971690	60971739	PGA3
ILMN_1677711	inclUTR	exome	0	3	chr11|+|61008661-61008710|1050_NM_014224,PGA5|exonic;chr11|+|60989835-60989884|1050_NM_001079808,PGA4|exonic;chr11|+|60970999-60971048|1050_NM_001079807,PGA3|exonic;	NA	1	0					
ILMN_1687842	inclUTR	exome	0	3	chr11|+|61017226-61017275|1050_NM_014224,PGA5|exonic;chr11|+|60978647-60978696|1050_NM_001079807,PGA3|exonic;chr11|+|60997476-60997525|1050_NM_001079808,PGA4|exonic;	NA	1	0					
